movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,combined_info
insidious: the last key,Horror Mystery Thriller,Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Adam Robitel Lin Shaye Angus Sampson Leigh Whannell Horror Mystery Thriller
the strange ones,Thriller Drama,Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Lauren Wolkstein Alex Pettyfer James Freedson-Jackson Emily Althaus Thriller Drama
stratton,Action Thriller,Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Simon West Dominic Cooper Austin Stowell Gemma Chan Action Thriller
sweet country,Drama History Western,Warwick Thornton,Bryan Brown,Sam Neill,None,Warwick Thornton Bryan Brown Sam Neill None Drama History Western
the commuter,Action Thriller,Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Jaume Collet-Serra Liam Neeson Vera Farmiga Patrick Wilson Action Thriller
proud mary,Thriller Action Crime,Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Babak Najafi Taraji P. Henson Billy Brown Danny Glover Thriller Action Crime
acts of violence,Action,Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Brett Donowho Bruce Willis Cole Hauser Shawn Ashmore Action
freak show,Comedy Drama,Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Trudie Styler Alex Lawther Abigail Breslin Bette Midler Comedy Drama
humor me,Comedy,Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Sam Hoffman Jemaine Clement Elliott Gould Ingrid Michaelson Comedy
vazante,Drama,Daniela Thomas,Adriano Carvalho,Luana Nastas,None,Daniela Thomas Adriano Carvalho Luana Nastas None Drama
mary and the witch's flower,Fantasy Adventure Animation,Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Hiromasa Yonebayashi Ruby Barnhill Louis Ashbourne Serkis Kate Winslet Fantasy Adventure Animation
12 strong,War Drama Action History,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,Nicolai Fuglsig Chris Hemsworth Michael Shannon Michael Peña War Drama Action History
den of thieves,Action Thriller Crime,Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Christian Gudegast Gerard Butler 50 Cent Pablo Schreiber Action Thriller Crime
forever my girl,Romance Drama Music,Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Bethany Ashton Wolf Alex Roe Jessica Rothe John Benjamin Hickey Romance Drama Music
maze runner: the death cure,Science Fiction Action,Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Wes Ball Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Science Fiction Action
the insult,Comedy Crime,Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Ziad Doueiri Adel Karam Camille Salameh Kamel El Basha Comedy Crime
please stand by,Comedy Drama,Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Ben Lewin Dakota Fanning Toni Collette Alice Eve Comedy Drama
winchester,Horror Thriller,The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,The Spierig Brothers Helen Mirren Jason Clarke Sarah Snook Horror Thriller
a fantastic woman,Drama,Sebastián Lelio,Daniela Vega,Francisco Reyes,None,Sebastián Lelio Daniela Vega Francisco Reyes None Drama
armed,Action Horror Thriller,Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Mario Van Peebles Mario Van Peebles William Fichtner Ryan Guzman Action Horror Thriller
the cloverfield paradox,Horror Science Fiction Action Thriller,Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Julius Onah Daniel Brühl Elizabeth Debicki Aksel Hennie Horror Science Fiction Action Thriller
bad apples,Horror,Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Bryan Coyne Brea Grant Graham Skipper Aly Fitzgerald Horror
peter rabbit,Family Comedy Adventure Animation Fantasy,Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Will Gluck James Corden Domhnall Gleeson Rose Byrne Family Comedy Adventure Animation Fantasy
fifty shades freed,Drama Romance,James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,James Foley Dakota Johnson Jamie Dornan Kim Basinger Drama Romance
the 15:17 to paris,Thriller History Drama,Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Clint Eastwood Anthony Sadler Alek Skarlatos Spencer Stone Thriller History Drama
la boda de valentina,Comedy,Marco Polo Constandse,Omar Chaparro,Marimar Vega,Ryan Carnes,Marco Polo Constandse Omar Chaparro Marimar Vega Ryan Carnes Comedy
permission,Comedy Romance Drama,Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Brian Crano Rebecca Hall Dan Stevens Morgan Spector Comedy Romance Drama
golden exits,Drama,Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Alex Ross Perry Emily Browning Adam Horowitz Mary-Louise Parker Drama
black panther,Action Adventure Science Fiction,Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Ryan Coogler Chadwick Boseman Michael B. Jordan Lupita Nyong'o Action Adventure Science Fiction
early man,Family Comedy Animation Adventure,Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Nick Park Eddie Redmayne Tom Hiddleston Maisie Williams Family Comedy Animation Adventure
loveless,Drama,Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Andrey Zvyagintsev Maryana Spivak Alexei Rozin Matvey Novikov Drama
the party,Comedy,Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Sally Potter Timothy Spall Kristin Scott Thomas Patricia Clarkson Comedy
nostalgia,Drama,Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Mark Pellington Jon Hamm Nick Offerman Amber Tamblyn Drama
black '47,Drama Western,Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Lance Daly Hugo Weaving Jim Broadbent Stephen Rea Drama Western
samson,Action Drama Adventure,Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Bruce Macdonald Taylor James Jackson Rathbone Billy Zane Action Drama Adventure
game night,Mystery Comedy Crime,"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,"Jonathan Goldstein, John Francis Daley Jason Bateman Rachel McAdams Kyle Chandler Mystery Comedy Crime"
annihilation,Action Science Fiction Horror Mystery,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Alex Garland Natalie Portman Jennifer Jason Leigh Gina Rodriguez Action Science Fiction Horror Mystery
